id,name,phone,address,hours,place_url
1,맥스웰피부과의원 강남점,02-566-5824,서울 강남구 테헤란로 120 상경빌딩 11층,진료중 | 월~금 10:00 ~ 19:30 · 휴게시간 월~금 13:00 ~ 14:00,
2,이지함피부과의원 강남점,02-567-5900,서울 서초구 강남대로 429 동일빌딩 5층 502호,진료중 | 월~금 10:00 ~ 19:00 · 휴게시간 월~금 13:00 ~ 14:30,
3,CU클린업피부과의원 강남점,02-561-0007,서울 서초구 강남대로 429 유창빌딩 10층,"진료중 | 화, 수 10:00 ~ 19:00 · 휴게시간 월~금 13:00 ~ 14:00",
4,모리스의원,02-555-6231,"서울 강남구 강남대로 378 준빌딩 9층, 11층",진료중 | 월~금 11:00 ~ 21:00 · 휴게시간 월~금 14:00 ~ 15:00,
5,여름의원,02-3478-1757,서울 서초구 강남대로 407 OPUS 10층,진료중 | 월~금 10:30 ~ 20:30,
6,블리비의원 강남역점,1833-9183,서울 서초구 강남대로 423 한승빌딩 3층,"진료중 | 화, 목 11:00 ~ 20:00",
7,아비쥬의원 강남신관,1544-0377,서울 서초구 서초대로73길 11,진료중 | 월~금 10:00 ~ 20:00 · 휴게시간 월~금 14:00 ~ 15:00,
8,강남밴스의원,02-6956-0133,서울 서초구 강남대로 411 DS타워 12-13층,진료중 | 월~금 09:00 ~ 20:00,
9,사적인아름다움 지유의원 강남본점,02-6241-0096,"서울 서초구 서초대로77길 54 서초 더블유타워 3층, 4층, 11층",진료중 | 월~금 10:30 ~ 21:00,
10,아비쥬의원 강남본관,1544-0377,"서울 서초구 서초대로77길 9 누드존빌딩 11,13층",진료중 | 월~금 10:00 ~ 20:00 · 휴게시간 월~금 14:00 ~ 15:00,
11,세라미크의원 강남,02-6205-3430,"서울 강남구 봉은사로2길 29 지하1층,1-5층",진료중 | 월~금 10:00 ~ 20:00,
12,세니아클리닉 1관,1661-2365,"서울 서초구 강남대로 441 서산빌딩 4층, 13층",진료중 | 화~목 10:00 ~ 19:30,
13,제이필의원,02-533-0060,서울 강남구 강남대로 438 스타플렉스 지하1층,진료중 | 월~금 10:00 ~ 20:00,
14,너와의원 강남,02-581-1668,"서울 서초구 강남대로 385 3층(접수, 상담), 4층(시술센터)",진료중 | 화 10:30 ~ 19:00 · 휴게시간 월~금 14:00 ~ 15:00,
15,강남비비의원,02-536-5058,서울 서초구 서초대로77길 5 4층,진료중 | 월~금 11:00 ~ 20:00 · 휴게시간 월~금 14:00 ~ 15:00,
16,데이뷰의원 강남점,02-2138-2225,서울 강남구 강남대로 494 단독건물,진료중 | 화~일 10:00 ~ 19:00,
17,이지함피부과 청담점,02-596-3600,서울 강남구 봉은사로 302 역삼아모제SK리더스뷰 2층 203~204호,진료중 | 월~금 10:00 ~ 19:00 · 휴게시간 월~금 13:00 ~ 14:00,
18,나인피부과의원 강남점,02-599-9990,"서울 서초구 강남대로 463 리젠타워 10,12층",진료중 | 월~금 10:30 ~ 20:00 · 휴게시간 월~금 13:30 ~ 14:30,
19,시아의원,02-512-7117,서울 강남구 강남대로 488 센트럴스퀘어강남 4-5층,진료중 | 월~금 10:30 ~ 20:30,
20,뮤즈클리닉 강남점 본관,1544-2994,서울 강남구 강남대로 452 대연빌딩 2-5층,진료중 | 월~금 11:00 ~ 21:00,
21,예쁨주의쁨의원 신논현점,02-593-3344,서울 강남구 강남대로 470 808타워 12-15층,진료중 | 월~금 10:30 ~ 21:00,
22,오엘의원,02-2135-7315,서울 강남구 학동로6길 53 오엘빌딩 2-3층,진료중 | 월~수 10:00 ~ 19:00 · 휴게시간 월~금 13:00 ~ 14:00,
23,CNP차앤박피부과 도곡양재점,02-3463-1140,서울 강남구 강남대로 248 목원빌딩 3층,진료중 | 화~목 10:00 ~ 19:00 · 휴게시간 월~금 13:00 ~ 14:00,
24,CNP차앤박피부과 양재점,02-3463-2400,서울 강남구 강남대로 240 SK허브프리모 3층 310~313호,진료중 | 월~목 10:30 ~ 19:30 · 휴게시간 월~금 13:00 ~ 14:00,
25,CNP차앤박피부과 압구정점,02-515-2100,서울 강남구 압구정로 168 제림빌딩 4층,진료중 | 월~금 09:30 ~ 18:30 · 휴게시간 월~토 13:00 ~ 14:00,
26,압구정더모의원,02-540-8185,서울 강남구 논현로167길 16 삼구빌딩 2층 201호,"진료중 | 금, 화 10:00 ~ 20:00 · 휴게시간 월~금 13:00 ~ 14:00",
27,예인피부과의원 선릉점,080-557-4476,서울 강남구 선릉로 510 오성빌딩 7층,진료중 | 월~금 10:00 ~ 20:00 · 휴게시간 월~토 13:00 ~ 14:00,
28,엠레드의원,02-543-3110,"서울 강남구 삼성로 731 청진빌딩 지하1층, 2층, 4층","진료중 | 목, 화 10:00 ~ 21:00 · 휴게시간 월~금 13:00 ~ 14:00",
29,연세라미슈의원,02-571-5657,서울 강남구 남부순환로 2609 하늘빌딩 2층,진료중 | 화 10:00 ~ 19:00 · 휴게시간 월~금 13:00 ~ 14:00,
30,삼성 밴스의원,02-6956-0035,서울 강남구 테헤란로 511 파크텐삼성빌딩 2층,진료중 | 월~금 10:00 ~ 20:00,
31,디오디피부과의원 청담,02-6203-6263,서울 강남구 도산대로 423,진료중 | 월~목 10:00 ~ 19:00 · 휴게시간 월~금 13:00 ~ 14:00,
32,예라인의원 압구정점,02-6951-0071,서울 강남구 논현로 812 6층,진료중 | 월~수 09:00 ~ 19:00 · 휴게시간 월~금 13:00 ~ 14:00,
33,상상의원 신사본점,1666-2727,"서울 강남구 도산대로 131 지하1층, 2-4층",진료중 | 월~금 10:30 ~ 21:00,
34,연세라인업의원,02-553-8070,서울 강남구 테헤란로 222 도원빌딩 5층,진료중 | 화~금 10:00 ~ 18:30 · 휴게시간 월~금 13:00 ~ 14:00,
35,수피부과의원,02-555-7472,서울 강남구 논현로 521 수스킨빌딩 1층,진료중 | 월~금 10:30 ~ 18:00 · 휴게시간 월~금 13:00 ~ 14:00,
36,닥터쁘띠의원 강남점,02-6941-0375,서울 강남구 테헤란로8길 13 2-3층 (2층 접수),진료중 | 월~금 10:00 ~ 20:00,
37,예젤의원,02-515-7409,서울 강남구 언주로 538 대웅빌딩 1층,진료중 | 화~목 10:00 ~ 19:00 · 휴게시간 화~목 13:00 ~ 14:00,
38,아미스킨의원 강남점,02-555-7890,서울 강남구 봉은사로38길 4 2층,진료중 | 화 14:00 ~ 20:30,
39,VS라인의원 강남점,02-535-1312,서울 강남구 테헤란로 107 메디타워 3층,진료중 | 월~금 11:00 ~ 20:30,
40,갤러리의원,02-553-7975,서울 강남구 선릉로 427 효제빌딩 4층,진료중 | 월~금 10:00 ~ 20:00 · 휴게시간 월~금 13:00 ~ 14:00,
41,에스듈피부과,02-555-7588,서울 강남구 선릉로86길 7,진료중 | 월~금 11:30 ~ 21:00,
42,권오정리얼뷰티의원,02-569-5757,서울 강남구 선릉로86길 12 2층,"진료중 | 화, 금 10:00 ~ 20:00",
43,골드제이의원,02-501-7715,서울 강남구 테헤란로 408 대치빌딩 8층,진료중 | 월~금 10:00 ~ 19:30 · 휴게시간 월~금 13:00 ~ 14:00,
44,비티큐의원,02-538-9048,서울 강남구 선릉로90길 48 비티큐타워 2~4층,진료중 | 월~금 10:00 ~ 20:00,
45,유앤아이의원 선릉점,02-552-6020,서울 강남구 테헤란로 421 암천빌딩 2층,진료중 | 월~금 10:00 ~ 20:30 · 휴게시간 월~금 13:00 ~ 14:00,
46,모아이의원,02-2039-2390,서울 강남구 테헤란로 401 남경센타 13층 1호,진료중 | 월~금 10:00 ~ 20:00 · 휴게시간 월~금 13:00 ~ 14:00,
47,예지인피부과의원,02-501-6885,서울 강남구 선릉로 517 비전빌딩 4층,진료중 | 월~금 10:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00,
48,더나인 피부과의원,02-561-6718,서울 강남구 테헤란로64길 14 더나인오피스텔 107~109호,,
49,더리즈의원,02-567-2505,서울 강남구 테헤란로 337 11층,"진료중 | 목, 화 10:00 ~ 19:00 · 휴게시간 월~토 13:00 ~ 14:00",
50,라인피부과의원,02-549-0043,"서울 서초구 강남대로 543 국전빌딩 5층,6층",진료중 | 월~금 10:00 ~ 19:00,
